Sourah Arabic,Sourah Number,Verse Number,Verse Diac,Verse,Label
سورة الحجر,15,79,فَٱنتَقَمۡنَا مِنۡهُمۡ وَإِنَّهُمَا لَبِإِمَامٖ مُّبِينٖ,فانتقمنا منهم وانهما لبامام مبين,anger
سورة الاحزاب,33,67,وَقَالُواْ رَبَّنَآ إِنَّآ أَطَعۡنَا سَادَتَنَا وَكُبَرَآءَنَا فَأَضَلُّونَا ٱلسَّبِيلَا۠,وقالوا ربنا انا اطعنا سادتنا وكبراءنا فاضلونا السبيلا,sadness
سورة يس,36,14,إِذۡ أَرۡسَلۡنَآ إِلَيۡهِمُ ٱثۡنَيۡنِ فَكَذَّبُوهُمَا فَعَزَّزۡنَا بِثَالِثٖ فَقَالُوٓاْ إِنَّآ إِلَيۡكُم مُّرۡسَلُونَ,اذ ارسلنا اليهم اثنين فكذبوهما فعززنا بثالث فقالوا انا اليكم مرسلون,anger
سورة الكهف,18,4,وَيُنذِرَ ٱلَّذِينَ قَالُواْ ٱتَّخَذَ ٱللَّهُ وَلَدٗا,وينذر الذين قالوا اتخذ الله ولدا,anger
سورة يس,36,41,وَءَايَةٞ لَّهُمۡ أَنَّا حَمَلۡنَا ذُرِّيَّتَهُمۡ فِي ٱلۡفُلۡكِ ٱلۡمَشۡحُونِ,وءاية لهم انا حملنا ذريتهم في الفلك المشحون,joy
سورة يس,36,64,ٱصۡلَوۡهَا ٱلۡيَوۡمَ بِمَا كُنتُمۡ تَكۡفُرُونَ,اصلوها اليوم بما كنتم تكفرون,anger
سورة المؤمنون,23,97,وَقُل رَّبِّ أَعُوذُ بِكَ مِنۡ هَمَزَٰتِ ٱلشَّيَٰطِينِ,وقل رب اعوذ بك من همزٰت الشيٰطين,fear
سورة السجدة,32,22,وَمَنۡ أَظۡلَمُ مِمَّن ذُكِّرَ بِـَٔايَٰتِ رَبِّهِۦ ثُمَّ أَعۡرَضَ عَنۡهَآۚ إِنَّا مِنَ ٱلۡمُجۡرِمِينَ مُنتَقِمُونَ,ومن اظلم ممن ذكر بايٰت ربه ثم اعرض عنها انا من المجرمين منتقمون,anger
سورة القمر,54,50,وَمَآ أَمۡرُنَآ إِلَّا وَٰحِدَةٞ كَلَمۡحِۭ بِٱلۡبَصَرِ,وما امرنا الا وٰحدة كلمح بالبصر,fear
سورة الانفال,8,40,وَإِن تَوَلَّوۡاْ فَٱعۡلَمُوٓاْ أَنَّ ٱللَّهَ مَوۡلَىٰكُمۡۚ نِعۡمَ ٱلۡمَوۡلَىٰ وَنِعۡمَ ٱلنَّصِيرُ,وان تولوا فاعلموا ان الله مولىٰكم نعم المولىٰ ونعم النصير,joy
سورة الاعراف,7,181,وَمِمَّنۡ خَلَقۡنَآ أُمَّةٞ يَهۡدُونَ بِٱلۡحَقِّ وَبِهِۦ يَعۡدِلُونَ,وممن خلقنا امة يهدون بالحق وبه يعدلون,joy
سورة الطور,52,28,إِنَّا كُنَّا مِن قَبۡلُ نَدۡعُوهُۖ إِنَّهُۥ هُوَ ٱلۡبَرُّ ٱلرَّحِيمُ,انا كنا من قبل ندعوه انه هو البر الرحيم,joy
سورة الذاريات,51,18,وَبِٱلۡأَسۡحَارِ هُمۡ يَسۡتَغۡفِرُونَ,وبالاسحار هم يستغفرون,joy
سورة الشعراء,26,14,وَلَهُمۡ عَلَيَّ ذَنۢبٞ فَأَخَافُ أَن يَقۡتُلُونِ,ولهم علي ذنب فاخاف ان يقتلون,anger
سورة الحاقة,69,20,إِنِّي ظَنَنتُ أَنِّي مُلَٰقٍ حِسَابِيَهۡ,اني ظننت اني ملٰق حسابيه,joy
سورة الانبياء,21,12,فَلَمَّآ أَحَسُّواْ بَأۡسَنَآ إِذَا هُم مِّنۡهَا يَرۡكُضُونَ,فلما احسوا باسنا اذا هم منها يركضون,fear
سورة الزخرف,43,83,فَذَرۡهُمۡ يَخُوضُواْ وَيَلۡعَبُواْ حَتَّىٰ يُلَٰقُواْ يَوۡمَهُمُ ٱلَّذِي يُوعَدُونَ,فذرهم يخوضوا ويلعبوا حتىٰ يلٰقوا يومهم الذي يوعدون,fear
سورة النمل,27,5,أُوْلَٰٓئِكَ ٱلَّذِينَ لَهُمۡ سُوٓءُ ٱلۡعَذَابِ وَهُمۡ فِي ٱلۡأٓخِرَةِ هُمُ ٱلۡأَخۡسَرُونَ,اولٰئك الذين لهم سوء العذاب وهم في الاخرة هم الاخسرون,anger
سورة الحديد,57,6,يُولِجُ ٱلَّيۡلَ فِي ٱلنَّهَارِ وَيُولِجُ ٱلنَّهَارَ فِي ٱلَّيۡلِۚ وَهُوَ عَلِيمُۢ بِذَاتِ ٱلصُّدُورِ,يولج اليل في النهار ويولج النهار في اليل وهو عليم بذات الصدور,fear
سورة الصافات,37,4,إِنَّ إِلَٰهَكُمۡ لَوَٰحِدٞ,ان الٰهكم لوٰحد,joy
سورة النمل,27,17,وَحُشِرَ لِسُلَيۡمَٰنَ جُنُودُهُۥ مِنَ ٱلۡجِنِّ وَٱلۡإِنسِ وَٱلطَّيۡرِ فَهُمۡ يُوزَعُونَ,وحشر لسليمٰن جنوده من الجن والانس والطير فهم يوزعون,joy
سورة النجم,53,5,عَلَّمَهُۥ شَدِيدُ ٱلۡقُوَىٰ,علمه شديد القوىٰ,joy
سورة النمل,27,19,فَتَبَسَّمَ ضَاحِكٗا مِّن قَوۡلِهَا وَقَالَ رَبِّ أَوۡزِعۡنِيٓ أَنۡ أَشۡكُرَ نِعۡمَتَكَ ٱلَّتِيٓ أَنۡعَمۡتَ عَلَيَّ وَعَلَىٰ وَٰلِدَيَّ وَأَنۡ أَعۡمَلَ صَٰلِحٗا تَرۡضَىٰهُ وَأَدۡخِلۡنِي بِرَحۡمَتِكَ فِي عِبَادِكَ ٱلصَّٰلِحِينَ,فتبسم ضاحكا من قولها وقال رب اوزعني ان اشكر نعمتك التي انعمت علي وعلىٰ وٰلدي وان اعمل صٰلحا ترضىٰه وادخلني برحمتك في عبادك الصٰلحين,joy
سورة الصافات,37,141,فَسَاهَمَ فَكَانَ مِنَ ٱلۡمُدۡحَضِينَ,فساهم فكان من المدحضين,sadness
سورة غافر,40,49,وَقَالَ ٱلَّذِينَ فِي ٱلنَّارِ لِخَزَنَةِ جَهَنَّمَ ٱدۡعُواْ رَبَّكُمۡ يُخَفِّفۡ عَنَّا يَوۡمٗا مِّنَ ٱلۡعَذَابِ,وقال الذين في النار لخزنة جهنم ادعوا ربكم يخفف عنا يوما من العذاب,sadness
سورة النمل,27,73,وَإِنَّ رَبَّكَ لَذُو فَضۡلٍ عَلَى ٱلنَّاسِ وَلَٰكِنَّ أَكۡثَرَهُمۡ لَا يَشۡكُرُونَ,وان ربك لذو فضل على الناس ولٰكن اكثرهم لا يشكرون,anger
سورة المطففين,83,24,تَعۡرِفُ فِي وُجُوهِهِمۡ نَضۡرَةَ ٱلنَّعِيمِ,تعرف في وجوههم نضرة النعيم,joy
سورة المرسلات,77,14,وَمَآ أَدۡرَىٰكَ مَا يَوۡمُ ٱلۡفَصۡلِ,وما ادرىٰك ما يوم الفصل,fear
سورة الانشقاق,84,13,إِنَّهُۥ كَانَ فِيٓ أَهۡلِهِۦ مَسۡرُورًا,انه كان في اهله مسرورا,sadness
سورة الصافات,37,125,أَتَدۡعُونَ بَعۡلٗا وَتَذَرُونَ أَحۡسَنَ ٱلۡخَٰلِقِينَ,اتدعون بعلا وتذرون احسن الخٰلقين,anger
سورة الاحزاب,33,43,هُوَ ٱلَّذِي يُصَلِّي عَلَيۡكُمۡ وَمَلَٰٓئِكَتُهُۥ لِيُخۡرِجَكُم مِّنَ ٱلظُّلُمَٰتِ إِلَى ٱلنُّورِۚ وَكَانَ بِٱلۡمُؤۡمِنِينَ رَحِيمٗا,هو الذي يصلي عليكم وملٰئكته ليخرجكم من الظلمٰت الى النور وكان بالمؤمنين رحيما,joy
سورة المزمل,73,14,يَوۡمَ تَرۡجُفُ ٱلۡأَرۡضُ وَٱلۡجِبَالُ وَكَانَتِ ٱلۡجِبَالُ كَثِيبٗا مَّهِيلًا,يوم ترجف الارض والجبال وكانت الجبال كثيبا مهيلا,fear
سورة الحجرات,49,16,قُلۡ أَتُعَلِّمُونَ ٱللَّهَ بِدِينِكُمۡ وَٱللَّهُ يَعۡلَمُ مَا فِي ٱلسَّمَٰوَٰتِ وَمَا فِي ٱلۡأَرۡضِۚ وَٱللَّهُ بِكُلِّ شَيۡءٍ عَلِيمٞ,قل اتعلمون الله بدينكم والله يعلم ما في السمٰوٰت وما في الارض والله بكل شيء عليم,anger
سورة النحل,16,78,وَٱللَّهُ أَخۡرَجَكُم مِّنۢ بُطُونِ أُمَّهَٰتِكُمۡ لَا تَعۡلَمُونَ شَيۡـٔٗا وَجَعَلَ لَكُمُ ٱلسَّمۡعَ وَٱلۡأَبۡصَٰرَ وَٱلۡأَفۡـِٔدَةَ لَعَلَّكُمۡ تَشۡكُرُونَ,والله اخرجكم من بطون امهٰتكم لا تعلمون شيا وجعل لكم السمع والابصٰر والافدة لعلكم تشكرون,joy
سورة الانعام,6,110,وَنُقَلِّبُ أَفۡـِٔدَتَهُمۡ وَأَبۡصَٰرَهُمۡ كَمَا لَمۡ يُؤۡمِنُواْ بِهِۦٓ أَوَّلَ مَرَّةٖ وَنَذَرُهُمۡ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,ونقلب افدتهم وابصٰرهم كما لم يؤمنوا به اول مرة ونذرهم في طغيٰنهم يعمهون,fear
سورة الليل,92,15,لَا يَصۡلَىٰهَآ إِلَّا ٱلۡأَشۡقَى,لا يصلىٰها الا الاشقى,anger
سورة الطور,52,32,أَمۡ تَأۡمُرُهُمۡ أَحۡلَٰمُهُم بِهَٰذَآۚ أَمۡ هُمۡ قَوۡمٞ طَاغُونَ,ام تامرهم احلٰمهم بهٰذا ام هم قوم طاغون,anger
سورة الواقعة,56,82,وَتَجۡعَلُونَ رِزۡقَكُمۡ أَنَّكُمۡ تُكَذِّبُونَ,وتجعلون رزقكم انكم تكذبون,anger
سورة يس,36,20,وَجَآءَ مِنۡ أَقۡصَا ٱلۡمَدِينَةِ رَجُلٞ يَسۡعَىٰ قَالَ يَٰقَوۡمِ ٱتَّبِعُواْ ٱلۡمُرۡسَلِينَ,وجاء من اقصا المدينة رجل يسعىٰ قال يٰقوم اتبعوا المرسلين,anger
سورة التوبة,9,11,فَإِن تَابُواْ وَأَقَامُواْ ٱلصَّلَوٰةَ وَءَاتَوُاْ ٱلزَّكَوٰةَ فَإِخۡوَٰنُكُمۡ فِي ٱلدِّينِۗ وَنُفَصِّلُ ٱلۡأٓيَٰتِ لِقَوۡمٖ يَعۡلَمُونَ,فان تابوا واقاموا الصلوٰة وءاتوا الزكوٰة فاخوٰنكم في الدين ونفصل الايٰت لقوم يعلمون,joy
سورة يونس,10,6,إِنَّ فِي ٱخۡتِلَٰفِ ٱلَّيۡلِ وَٱلنَّهَارِ وَمَا خَلَقَ ٱللَّهُ فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ لَأٓيَٰتٖ لِّقَوۡمٖ يَتَّقُونَ,ان في اختلٰف اليل والنهار وما خلق الله في السمٰوٰت والارض لايٰت لقوم يتقون,fear
سورة الدخان,44,33,وَءَاتَيۡنَٰهُم مِّنَ ٱلۡأٓيَٰتِ مَا فِيهِ بَلَٰٓؤٞاْ مُّبِينٌ,وءاتينٰهم من الايٰت ما فيه بلٰؤا مبين,fear
سورة الكهف,18,12,ثُمَّ بَعَثۡنَٰهُمۡ لِنَعۡلَمَ أَيُّ ٱلۡحِزۡبَيۡنِ أَحۡصَىٰ لِمَا لَبِثُوٓاْ أَمَدٗا,ثم بعثنٰهم لنعلم اي الحزبين احصىٰ لما لبثوا امدا,fear
سورة الاسراء,17,31,وَلَا تَقۡتُلُوٓاْ أَوۡلَٰدَكُمۡ خَشۡيَةَ إِمۡلَٰقٖۖ نَّحۡنُ نَرۡزُقُهُمۡ وَإِيَّاكُمۡۚ إِنَّ قَتۡلَهُمۡ كَانَ خِطۡـٔٗا كَبِيرٗا,ولا تقتلوا اولٰدكم خشية املٰق نحن نرزقهم واياكم ان قتلهم كان خطا كبيرا,sadness
سورة القصص,28,17,قَالَ رَبِّ بِمَآ أَنۡعَمۡتَ عَلَيَّ فَلَنۡ أَكُونَ ظَهِيرٗا لِّلۡمُجۡرِمِينَ,قال رب بما انعمت علي فلن اكون ظهيرا للمجرمين,sadness
سورة المسد,111,5,فِي جِيدِهَا حَبۡلٞ مِّن مَّسَدِۭ,في جيدها حبل من مسد,anger
سورة الصافات,37,22,۞ٱحۡشُرُواْ ٱلَّذِينَ ظَلَمُواْ وَأَزۡوَٰجَهُمۡ وَمَا كَانُواْ يَعۡبُدُونَ,احشروا الذين ظلموا وازوٰجهم وما كانوا يعبدون,fear
سورة الانفال,8,62,وَإِن يُرِيدُوٓاْ أَن يَخۡدَعُوكَ فَإِنَّ حَسۡبَكَ ٱللَّهُۚ هُوَ ٱلَّذِيٓ أَيَّدَكَ بِنَصۡرِهِۦ وَبِٱلۡمُؤۡمِنِينَ,وان يريدوا ان يخدعوك فان حسبك الله هو الذي ايدك بنصره وبالمؤمنين,joy
سورة طه,20,116,وَإِذۡ قُلۡنَا لِلۡمَلَٰٓئِكَةِ ٱسۡجُدُواْ لِأٓدَمَ فَسَجَدُوٓاْ إِلَّآ إِبۡلِيسَ أَبَىٰ,واذ قلنا للملٰئكة اسجدوا لادم فسجدوا الا ابليس ابىٰ,anger
سورة المزمل,73,11,وَذَرۡنِي وَٱلۡمُكَذِّبِينَ أُوْلِي ٱلنَّعۡمَةِ وَمَهِّلۡهُمۡ قَلِيلًا,وذرني والمكذبين اولي النعمة ومهلهم قليلا,anger
سورة الشعراء,26,74,قَالُواْ بَلۡ وَجَدۡنَآ ءَابَآءَنَا كَذَٰلِكَ يَفۡعَلُونَ,قالوا بل وجدنا ءاباءنا كذٰلك يفعلون,anger
سورة يس,36,43,وَإِن نَّشَأۡ نُغۡرِقۡهُمۡ فَلَا صَرِيخَ لَهُمۡ وَلَا هُمۡ يُنقَذُونَ,وان نشا نغرقهم فلا صريخ لهم ولا هم ينقذون,fear
سورة الاحزاب,33,66,يَوۡمَ تُقَلَّبُ وُجُوهُهُمۡ فِي ٱلنَّارِ يَقُولُونَ يَٰلَيۡتَنَآ أَطَعۡنَا ٱللَّهَ وَأَطَعۡنَا ٱلرَّسُولَا۠,يوم تقلب وجوههم في النار يقولون يٰليتنا اطعنا الله واطعنا الرسولا,sadness
سورة فاطر,35,17,وَمَا ذَٰلِكَ عَلَى ٱللَّهِ بِعَزِيزٖ,وما ذٰلك على الله بعزيز,joy
سورة الشورىٰ,42,17,ٱللَّهُ ٱلَّذِيٓ أَنزَلَ ٱلۡكِتَٰبَ بِٱلۡحَقِّ وَٱلۡمِيزَانَۗ وَمَا يُدۡرِيكَ لَعَلَّ ٱلسَّاعَةَ قَرِيبٞ,الله الذي انزل الكتٰب بالحق والميزان وما يدريك لعل الساعة قريب,anger
سورة الدخان,44,44,طَعَامُ ٱلۡأَثِيمِ,طعام الاثيم,sadness
سورة البروج,85,19,بَلِ ٱلَّذِينَ كَفَرُواْ فِي تَكۡذِيبٖ,بل الذين كفروا في تكذيب,anger
سورة المزمل,73,19,إِنَّ هَٰذِهِۦ تَذۡكِرَةٞۖ فَمَن شَآءَ ٱتَّخَذَ إِلَىٰ رَبِّهِۦ سَبِيلًا,ان هٰذه تذكرة فمن شاء اتخذ الىٰ ربه سبيلا,fear
سورة محمد,47,11,ذَٰلِكَ بِأَنَّ ٱللَّهَ مَوۡلَى ٱلَّذِينَ ءَامَنُواْ وَأَنَّ ٱلۡكَٰفِرِينَ لَا مَوۡلَىٰ لَهُمۡ,ذٰلك بان الله مولى الذين ءامنوا وان الكٰفرين لا مولىٰ لهم,sadness
سورة النحل,16,9,وَعَلَى ٱللَّهِ قَصۡدُ ٱلسَّبِيلِ وَمِنۡهَا جَآئِرٞۚ وَلَوۡ شَآءَ لَهَدَىٰكُمۡ أَجۡمَعِينَ,وعلى الله قصد السبيل ومنها جائر ولو شاء لهدىٰكم اجمعين,fear
سورة الجاثية,45,10,مِّن وَرَآئِهِمۡ جَهَنَّمُۖ وَلَا يُغۡنِي عَنۡهُم مَّا كَسَبُواْ شَيۡـٔٗا وَلَا مَا ٱتَّخَذُواْ مِن دُونِ ٱللَّهِ أَوۡلِيَآءَۖ وَلَهُمۡ عَذَابٌ عَظِيمٌ,من ورائهم جهنم ولا يغني عنهم ما كسبوا شيا ولا ما اتخذوا من دون الله اولياء ولهم عذاب عظيم,fear
سورة الشعراء,26,97,تَٱللَّهِ إِن كُنَّا لَفِي ضَلَٰلٖ مُّبِينٍ,تالله ان كنا لفي ضلٰل مبين,sadness
سورة الرعد,13,42,وَقَدۡ مَكَرَ ٱلَّذِينَ مِن قَبۡلِهِمۡ فَلِلَّهِ ٱلۡمَكۡرُ جَمِيعٗاۖ يَعۡلَمُ مَا تَكۡسِبُ كُلُّ نَفۡسٖۗ وَسَيَعۡلَمُ ٱلۡكُفَّٰرُ لِمَنۡ عُقۡبَى ٱلدَّارِ,وقد مكر الذين من قبلهم فلله المكر جميعا يعلم ما تكسب كل نفس وسيعلم الكفٰر لمن عقبى الدار,fear
سورة النمل,27,8,فَلَمَّا جَآءَهَا نُودِيَ أَنۢ بُورِكَ مَن فِي ٱلنَّارِ وَمَنۡ حَوۡلَهَا وَسُبۡحَٰنَ ٱللَّهِ رَبِّ ٱلۡعَٰلَمِينَ,فلما جاءها نودي ان بورك من في النار ومن حولها وسبحٰن الله رب العٰلمين,joy
سورة محمد,47,31,وَلَنَبۡلُوَنَّكُمۡ حَتَّىٰ نَعۡلَمَ ٱلۡمُجَٰهِدِينَ مِنكُمۡ وَٱلصَّٰبِرِينَ وَنَبۡلُوَاْ أَخۡبَارَكُمۡ,ولنبلونكم حتىٰ نعلم المجٰهدين منكم والصٰبرين ونبلوا اخباركم,fear
سورة الحاقة,69,16,وَٱنشَقَّتِ ٱلسَّمَآءُ فَهِيَ يَوۡمَئِذٖ وَاهِيَةٞ,وانشقت السماء فهي يومئذ واهية,fear
سورة الحاقة,69,9,وَجَآءَ فِرۡعَوۡنُ وَمَن قَبۡلَهُۥ وَٱلۡمُؤۡتَفِكَٰتُ بِٱلۡخَاطِئَةِ,وجاء فرعون ومن قبله والمؤتفكٰت بالخاطئة,anger
سورة التكاثر,102,2,حَتَّىٰ زُرۡتُمُ ٱلۡمَقَابِرَ,حتىٰ زرتم المقابر,fear
سورة الزخرف,43,73,لَكُمۡ فِيهَا فَٰكِهَةٞ كَثِيرَةٞ مِّنۡهَا تَأۡكُلُونَ,لكم فيها فٰكهة كثيرة منها تاكلون,joy
سورة المؤمنون,23,25,إِنۡ هُوَ إِلَّا رَجُلُۢ بِهِۦ جِنَّةٞ فَتَرَبَّصُواْ بِهِۦ حَتَّىٰ حِينٖ,ان هو الا رجل به جنة فتربصوا به حتىٰ حين,sadness
سورة الاعراف,7,14,قَالَ أَنظِرۡنِيٓ إِلَىٰ يَوۡمِ يُبۡعَثُونَ,قال انظرني الىٰ يوم يبعثون,fear
سورة البقرة,2,163,وَإِلَٰهُكُمۡ إِلَٰهٞ وَٰحِدٞۖ لَّآ إِلَٰهَ إِلَّا هُوَ ٱلرَّحۡمَٰنُ ٱلرَّحِيمُ,والٰهكم الٰه وٰحد لا الٰه الا هو الرحمٰن الرحيم,joy
سورة الزخرف,43,55,فَلَمَّآ ءَاسَفُونَا ٱنتَقَمۡنَا مِنۡهُمۡ فَأَغۡرَقۡنَٰهُمۡ أَجۡمَعِينَ,فلما ءاسفونا انتقمنا منهم فاغرقنٰهم اجمعين,fear
سورة هود,11,80,قَالَ لَوۡ أَنَّ لِي بِكُمۡ قُوَّةً أَوۡ ءَاوِيٓ إِلَىٰ رُكۡنٖ شَدِيدٖ,قال لو ان لي بكم قوة او ءاوي الىٰ ركن شديد,sadness
سورة الغاشية,88,17,أَفَلَا يَنظُرُونَ إِلَى ٱلۡإِبِلِ كَيۡفَ خُلِقَتۡ,افلا ينظرون الى الابل كيف خلقت,fear
سورة يوسف,12,55,قَالَ ٱجۡعَلۡنِي عَلَىٰ خَزَآئِنِ ٱلۡأَرۡضِۖ إِنِّي حَفِيظٌ عَلِيمٞ,قال اجعلني علىٰ خزائن الارض اني حفيظ عليم,joy
سورة الذاريات,51,50,فَفِرُّوٓاْ إِلَى ٱللَّهِۖ إِنِّي لَكُم مِّنۡهُ نَذِيرٞ مُّبِينٞ,ففروا الى الله اني لكم منه نذير مبين,fear
سورة الزخرف,43,77,وَنَادَوۡاْ يَٰمَٰلِكُ لِيَقۡضِ عَلَيۡنَا رَبُّكَۖ قَالَ إِنَّكُم مَّٰكِثُونَ,ونادوا يٰمٰلك ليقض علينا ربك قال انكم مٰكثون,fear
سورة ال عمران,3,38,هُنَالِكَ دَعَا زَكَرِيَّا رَبَّهُۥۖ قَالَ رَبِّ هَبۡ لِي مِن لَّدُنكَ ذُرِّيَّةٗ طَيِّبَةًۖ إِنَّكَ سَمِيعُ ٱلدُّعَآءِ,هنالك دعا زكريا ربه قال رب هب لي من لدنك ذرية طيبة انك سميع الدعاء,joy
سورة المؤمنون,23,17,وَلَقَدۡ خَلَقۡنَا فَوۡقَكُمۡ سَبۡعَ طَرَآئِقَ وَمَا كُنَّا عَنِ ٱلۡخَلۡقِ غَٰفِلِينَ,ولقد خلقنا فوقكم سبع طرائق وما كنا عن الخلق غٰفلين,fear
سورة المدثر,74,3,وَرَبَّكَ فَكَبِّرۡ,وربك فكبر,joy
سورة يس,36,61,وَأَنِ ٱعۡبُدُونِيۚ هَٰذَا صِرَٰطٞ مُّسۡتَقِيمٞ,وان اعبدوني هٰذا صرٰط مستقيم,fear
سورة العنكبوت,29,7,وَٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ لَنُكَفِّرَنَّ عَنۡهُمۡ سَيِّـَٔاتِهِمۡ وَلَنَجۡزِيَنَّهُمۡ أَحۡسَنَ ٱلَّذِي كَانُواْ يَعۡمَلُونَ,والذين ءامنوا وعملوا الصٰلحٰت لنكفرن عنهم سياتهم ولنجزينهم احسن الذي كانوا يعملون,joy
سورة الطور,52,20,مُتَّكِـِٔينَ عَلَىٰ سُرُرٖ مَّصۡفُوفَةٖۖ وَزَوَّجۡنَٰهُم بِحُورٍ عِينٖ,متكين علىٰ سرر مصفوفة وزوجنٰهم بحور عين,joy
سورة المؤمنون,23,102,فَمَن ثَقُلَتۡ مَوَٰزِينُهُۥ فَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,فمن ثقلت موٰزينه فاولٰئك هم المفلحون,sadness
سورة المؤمنون,23,75,۞وَلَوۡ رَحِمۡنَٰهُمۡ وَكَشَفۡنَا مَا بِهِم مِّن ضُرّٖ لَّلَجُّواْ فِي طُغۡيَٰنِهِمۡ يَعۡمَهُونَ,ولو رحمنٰهم وكشفنا ما بهم من ضر للجوا في طغيٰنهم يعمهون,fear
سورة المؤمنون,23,53,فَتَقَطَّعُوٓاْ أَمۡرَهُم بَيۡنَهُمۡ زُبُرٗاۖ كُلُّ حِزۡبِۭ بِمَا لَدَيۡهِمۡ فَرِحُونَ,فتقطعوا امرهم بينهم زبرا كل حزب بما لديهم فرحون,fear
سورة النجم,53,33,أَفَرَءَيۡتَ ٱلَّذِي تَوَلَّىٰ,افرءيت الذي تولىٰ,anger
سورة الحجر,15,71,قَالَ هَٰٓؤُلَآءِ بَنَاتِيٓ إِن كُنتُمۡ فَٰعِلِينَ,قال هٰؤلاء بناتي ان كنتم فٰعلين,anger
سورة الشرح,94,4,وَرَفَعۡنَا لَكَ ذِكۡرَكَ,ورفعنا لك ذكرك,joy
سورة القلم,68,8,فَلَا تُطِعِ ٱلۡمُكَذِّبِينَ,فلا تطع المكذبين,fear
سورة البقرة,2,5,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ,اولٰئك علىٰ هدى من ربهم واولٰئك هم المفلحون,joy
سورة الاسراء,17,2,وَءَاتَيۡنَا مُوسَى ٱلۡكِتَٰبَ وَجَعَلۡنَٰهُ هُدٗى لِّبَنِيٓ إِسۡرَٰٓءِيلَ أَلَّا تَتَّخِذُواْ مِن دُونِي وَكِيلٗا,وءاتينا موسى الكتٰب وجعلنٰه هدى لبني اسرٰءيل الا تتخذوا من دوني وكيلا,joy
سورة القصص,28,3,نَتۡلُواْ عَلَيۡكَ مِن نَّبَإِ مُوسَىٰ وَفِرۡعَوۡنَ بِٱلۡحَقِّ لِقَوۡمٖ يُؤۡمِنُونَ,نتلوا عليك من نبا موسىٰ وفرعون بالحق لقوم يؤمنون,sadness
سورة الدخان,44,56,لَا يَذُوقُونَ فِيهَا ٱلۡمَوۡتَ إِلَّا ٱلۡمَوۡتَةَ ٱلۡأُولَىٰۖ وَوَقَىٰهُمۡ عَذَابَ ٱلۡجَحِيمِ,لا يذوقون فيها الموت الا الموتة الاولىٰ ووقىٰهم عذاب الجحيم,fear
سورة النمل,27,13,فَلَمَّا جَآءَتۡهُمۡ ءَايَٰتُنَا مُبۡصِرَةٗ قَالُواْ هَٰذَا سِحۡرٞ مُّبِينٞ,فلما جاءتهم ءايٰتنا مبصرة قالوا هٰذا سحر مبين,anger
سورة الطارق,86,7,يَخۡرُجُ مِنۢ بَيۡنِ ٱلصُّلۡبِ وَٱلتَّرَآئِبِ,يخرج من بين الصلب والترائب,fear
سورة الزلزلة,99,6,يَوۡمَئِذٖ يَصۡدُرُ ٱلنَّاسُ أَشۡتَاتٗا لِّيُرَوۡاْ أَعۡمَٰلَهُمۡ,يومئذ يصدر الناس اشتاتا ليروا اعمٰلهم,fear
سورة الحجر,15,29,فَإِذَا سَوَّيۡتُهُۥ وَنَفَخۡتُ فِيهِ مِن رُّوحِي فَقَعُواْ لَهُۥ سَٰجِدِينَ,فاذا سويته ونفخت فيه من روحي فقعوا له سٰجدين,fear
سورة الواقعة,56,79,لَّا يَمَسُّهُۥٓ إِلَّا ٱلۡمُطَهَّرُونَ,لا يمسه الا المطهرون,joy
سورة الانبياء,21,70,وَأَرَادُواْ بِهِۦ كَيۡدٗا فَجَعَلۡنَٰهُمُ ٱلۡأَخۡسَرِينَ,وارادوا به كيدا فجعلنٰهم الاخسرين,joy
سورة ص,38,7,مَا سَمِعۡنَا بِهَٰذَا فِي ٱلۡمِلَّةِ ٱلۡأٓخِرَةِ إِنۡ هَٰذَآ إِلَّا ٱخۡتِلَٰقٌ,ما سمعنا بهٰذا في الملة الاخرة ان هٰذا الا اختلٰق,fear
سورة النور,24,49,وَإِن يَكُن لَّهُمُ ٱلۡحَقُّ يَأۡتُوٓاْ إِلَيۡهِ مُذۡعِنِينَ,وان يكن لهم الحق ياتوا اليه مذعنين,fear
سورة لقمان,31,16,يَٰبُنَيَّ إِنَّهَآ إِن تَكُ مِثۡقَالَ حَبَّةٖ مِّنۡ خَرۡدَلٖ فَتَكُن فِي صَخۡرَةٍ أَوۡ فِي ٱلسَّمَٰوَٰتِ أَوۡ فِي ٱلۡأَرۡضِ يَأۡتِ بِهَا ٱللَّهُۚ إِنَّ ٱللَّهَ لَطِيفٌ خَبِيرٞ,يٰبني انها ان تك مثقال حبة من خردل فتكن في صخرة او في السمٰوٰت او في الارض يات بها الله ان الله لطيف خبير,fear
سورة المطففين,83,13,إِذَا تُتۡلَىٰ عَلَيۡهِ ءَايَٰتُنَا قَالَ أَسَٰطِيرُ ٱلۡأَوَّلِينَ,اذا تتلىٰ عليه ءايٰتنا قال اسٰطير الاولين,anger
